   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      259    0.001    0.000    0.043    0.000 objmode.py:542(storevar)
      418    0.001    0.000    0.042    0.000 lowering.py:992(decref)
      682    0.001    0.000    0.042    0.000 objmode.py:494(is_null)
       12    0.000    0.000    0.042    0.003 rangeobj.py:88(getiter_range32_impl)
      198    0.001    0.000    0.041    0.000 lowering.py:973(alloca_lltype)
1200/1197    0.005    0.000    0.041    0.000 abstract.py:54(__call__)
    61065    0.041    0.000    0.041    0.000 abstract.py:88(key)
      692    0.002    0.000    0.041    0.000 cgutils.py:409(is_null)
        6    0.002    0.000    0.041    0.007 typeinfer.py:799(build_constraint)
62696/62496    0.040    0.000    0.040    0.000 {built-in method builtins.len}
     1818    0.004    0.000    0.040    0.000 instructions.py:407(__init__)
     1829    0.004    0.000    0.040    0.000 instructions.py:160(__init__)
      368    0.003    0.000    0.039    0.000 pythonapi.py:260(err_set_string)
     1837    0.008    0.000    0.039    0.000 typeinfer.py:959(constrain_statement)
       80    0.001    0.000    0.038    0.000 dispatcher.py:401(_search_new_conversions)
     3248    0.008    0.000    0.038    0.000 values.py:173(__hash__)
     8856    0.008    0.000    0.038    0.000 objmode.py:510(_getvar)
      220    0.002    0.000    0.038    0.000 lowering.py:954(delvar)
       12    0.001    0.000    0.038    0.003 rangeobj.py:101(from_range_state)
     1726    0.004    0.000    0.037    0.000 builder.py:146(append_basic_block)
      104    0.001    0.000    0.036    0.000 typeinfer.py:410(__call__)
      132    0.001    0.000    0.036    0.000 pythonapi.py:730(list_getitem)
      388    0.002    0.000    0.035    0.000 base.py:390(insert_const_string)
37663/35024    0.027    0.000    0.035    0.000 {built-in method builtins.hash}
     9795    0.022    0.000    0.034    0.000 core.py:76(function)
        2    0.000    0.000    0.034    0.017 dispatcher.py:455(__init__)
     9649    0.020    0.000    0.034    0.000 removerefctpass.py:19(visit_Call)
    10062    0.012    0.000    0.034    0.000 {method 'get' of 'dict' objects}
     9819    0.016    0.000    0.034    0.000 pythonapi.py:1212(_get_function)
        4    0.000    0.000    0.033    0.008 registry.py:45(target_context)
        1    0.000    0.000    0.033    0.033 registry.py:35(_toplevel_target_context)
        1    0.000    0.000    0.033    0.033 base.py:221(__init__)
      275    0.001    0.000    0.033    0.000 nrtopt.py:62(_process_basic_block)
      611    0.002    0.000    0.033    0.000 typeof.py:22(typeof)
