   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1333    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      493    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
      171    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      493    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
       40    0.000    0.000    0.001    0.000 fromnumeric.py:2222(amax)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       10    0.000    0.000    0.001    0.000 abc.py:151(register)
      320    0.001    0.000    0.001    0.000 function_base.py:213(iterable)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
       40    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      102    0.000    0.000    0.001    0.000 re.py:169(match)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
    23/10    0.000    0.000    0.001    0.000 abc.py:196(__subclasscheck__)
      171    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
       40    0.000    0.000    0.001    0.000 fromnumeric.py:2456(prod)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
      960    0.001    0.000    0.001    0.000 stride_tricks.py:120(<genexpr>)
        1    0.001    0.001    0.001    0.001 datetime.py:336(timedelta)
       38    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 records.py:36(<module>)
       33    0.000    0.000    0.001    0.000 functools.py:44(update_wrapper)
       17    0.000    0.000    0.001    0.000 sre_compile.py:482(_compile_info)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
       40    0.000    0.000    0.001    0.000 fromnumeric.py:1778(sum)
       32    0.000    0.000    0.001    0.000 enum.py:795(__or__)
      349    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      263    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        1    0.000    0.000    0.001    0.001 _distributor_init.py:10(<module>)
       53    0.000    0.000    0.001    0.000 core.py:891(__init__)
      695    0.001    0.000    0.001    0.000 sre_parse.py:232(__next)
     1028    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       46    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
     1028    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      242    0.000    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
        3    0.001    0.000    0.001    0.000 utils.py:118(deprecate)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        4    0.000    0.000    0.001    0.000 numeric.py:2882(extend_all)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:845(_cache_bytecode)
       17    0.000    0.000    0.001    0.000 sre_parse.py:828(fix_flags)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        3    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:850(set_data)
      640    0.001    0.000    0.001    0.000 arraypad.py:1082(<listcomp>)
      640    0.001    0.000    0.001    0.000 arraypad.py:1083(<listcomp>)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
       81    0.001    0.000    0.001    0.000 _methods.py:43(_count_reduce_items)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:106(_write_atomic)
        6    0.000    0.000    0.001    0.000 getlimits.py:65(__init__)
   111/58    0.000    0.000    0.001    0.000 sre_parse.py:173(getwidth)
       43    0.000    0.000    0.001    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.001    0.001 nosetester.py:5(<module>)
